"vacc_self","vacc_others01","vacc_others02","vacc_others03","vacc_others04","vacc_others05","masks_self","masks_others_never","masks_others_sometimes","masks_others_half","masks_others_often","masks_others_always","testing_self","testing_others_never","testing_others_sometimes","testing_others_half","testing_others_often","testing_others_always"
5,0,0,0,0,100,5,0,0,0,0,100,2,100,0,0,0,0
5,0,0,9,0,91,5,0,0,0,0,100,1,96,4,0,0,0
5,0,0,48,0,52,5,4,0,35,0,61,2,2,0,0,0,98
5,25,15,10,0,50,5,6,15,24,15,40,1,38,7,14,24,17
5,0,0,0,100,0,5,0,0,0,100,0,4,0,0,0,100,0
3,55,45,0,0,0,3,40,38,22,0,0,3,48,52,0,0,0
5,0,0,0,2,98,5,0,0,0,67,33,5,0,0,0,1,99
5,1,12,3,4,80,NA,0,5,14,81,0,2,30,70,0,0,0
4,34,4,18,27,17,4,0,12,37,51,0,2,13,41,0,46,0
4,0,50,0,50,0,4,0,0,0,100,0,4,0,0,0,100,0
5,30,0,0,10,60,5,0,20,10,30,40,3,10,0,30,60,0
5,20,30,30,5,15,4,5,20,20,20,35,3,10,20,20,30,20
5,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
5,5,0,0,0,95,5,0,0,0,0,100,4,0,0,0,100,0
3,18,21,18,43,0,5,13,14,18,55,0,1,6,6,9,43,36
5,13,13,20,25,29,5,0,0,0,21,79,2,13,73,14,0,0
5,6,3,11,32,48,5,1,0,0,10,89,5,12,36,7,14,31
4,20,0,20,0,60,5,0,0,0,10,90,1,10,50,0,0,40
4,0,0,0,100,0,5,0,0,0,0,100,2,0,100,0,0,0
2,16,13,27,30,14,4,30,17,30,15,8,4,30,20,15,20,15
5,25,5,0,25,45,5,5,20,5,10,60,1,5,10,20,50,15
5,0,0,0,50,50,4,0,25,0,50,25,2,80,20,0,0,0
NA,33,40,16,10,1,NA,6,13,30,41,10,NA,0,0,0,80,20
4,0,20,20,40,20,4,0,10,30,50,10,5,0,10,10,30,50
3,6,17,54,13,10,5,0,0,0,0,100,1,0,50,50,0,0
3,30,59,11,0,0,NA,30,3,40,27,0,3,30,70,0,0,0
5,15,8,5,23,49,5,4,14,23,33,26,4,5,6,18,60,11
1,50,30,19,1,0,5,80,20,0,0,0,1,50,0,0,0,50
3,4,26,43,15,12,NA,0,34,35,31,0,NA,0,65,0,35,0
NA,0,7,0,32,61,5,0,0,0,50,50,1,0,0,90,0,10
5,15,10,25,5,45,5,15,6,0,0,79,4,0,0,43,57,0
4,0,0,10,80,10,5,0,0,0,0,100,3,0,0,100,0,0
4,28,34,9,14,15,2,21,25,22,6,26,2,0,66,12,17,5
2,15,15,10,35,25,4,0,15,15,55,15,3,5,25,40,20,10
5,10,10,10,50,20,4,0,10,10,70,10,2,0,70,10,10,10
3,3,6,12,29,50,5,0,0,0,44,56,3,2,18,56,17,7
5,20,27,12,21,20,4,5,14,22,33,26,4,3,15,26,40,16
4,50,0,0,0,50,5,0,0,0,0,100,2,50,50,0,0,0
5,0,0,0,41,59,4,0,0,0,16,84,1,0,0,28,46,26
5,20,20,20,20,20,5,20,20,20,20,20,5,20,20,20,20,20
5,0,0,0,0,100,5,0,0,0,0,100,5,0,0,0,50,50
5,10,25,0,25,40,5,0,0,20,31,49,4,0,50,0,50,0
NA,10,10,10,35,35,5,0,10,50,20,20,4,10,30,0,60,0
2,64,28,2,2,4,NA,33,18,19,22,8,NA,86,14,0,0,0
4,40,18,5,17,20,4,10,30,10,10,40,2,10,20,30,10,30
NA,32,31,26,0,11,NA,1,11,24,64,0,NA,13,7,34,0,46
5,0,0,0,0,100,4,0,0,0,0,100,4,0,0,0,0,100
2,14,86,0,0,0,4,0,0,0,100,0,2,0,100,0,0,0
5,0,0,0,0,100,4,0,0,0,0,100,5,0,0,0,100,0
2,30,27,26,5,12,4,2,15,22,33,28,5,12,30,25,24,9
1,34,4,3,27,32,NA,2,9,13,25,51,NA,22,25,12,4,37
1,13,12,20,43,12,4,4,4,4,59,29,4,14,22,33,10,21
4,32,31,28,9,0,NA,19,28,27,13,13,4,56,44,0,0,0
NA,29,9,22,14,26,2,13,9,14,12,52,1,14,8,28,13,37
4,0,5,5,50,40,5,0,0,0,0,100,4,0,0,0,100,0
5,20,6,0,11,63,5,100,0,0,0,0,2,0,100,0,0,0
1,100,0,0,0,0,2,75,25,0,0,0,1,75,25,0,0,0
3,12,56,21,11,0,2,4,20,27,15,34,2,2,23,0,69,6
3,50,40,10,0,0,4,0,0,10,50,40,5,0,5,0,90,5
4,0,0,0,70,30,4,0,20,0,60,20,1,70,0,30,0,0
4,12,44,25,11,8,5,0,0,0,77,23,3,0,0,35,19,46
4,10,9,20,48,13,5,0,9,0,23,68,3,6,24,34,28,8
1,20,18,10,16,36,3,0,0,25,75,0,5,0,0,0,0,100
5,5,20,40,20,15,5,0,10,10,30,50,3,10,25,30,30,5
5,5,15,12,19,49,4,0,20,25,44,11,5,18,25,34,13,10
4,0,30,40,30,0,4,0,25,50,25,0,5,0,0,0,0,100
NA,23,20,27,25,5,3,10,13,28,15,34,3,21,30,21,15,13
5,5,11,0,76,8,4,0,15,15,70,0,4,12,27,28,33,0
2,28,15,27,26,4,4,56,44,0,0,0,4,0,39,40,0,21
3,5,10,0,65,20,5,0,0,0,10,90,2,10,90,0,0,0
NA,18,22,12,39,9,NA,27,26,47,0,0,NA,0,100,0,0,0
5,0,0,0,0,100,5,0,0,0,0,100,5,0,0,0,0,100
5,0,0,0,0,100,5,0,0,0,0,100,1,100,0,0,0,0
1,48,37,0,6,9,4,0,18,38,34,10,3,0,18,48,24,10
NA,55,28,8,4,5,2,10,60,20,5,5,2,0,60,20,10,10
2,30,15,30,20,5,4,0,15,25,50,10,2,60,5,10,15,10
3,100,0,0,0,0,4,0,0,0,100,0,3,0,0,0,100,0
4,19,25,15,21,20,3,2,22,29,32,15,2,35,33,24,5,3
5,0,0,0,100,0,5,0,0,0,100,0,3,0,0,100,0,0
1,100,0,0,0,0,4,0,0,0,100,0,2,100,0,0,0,0
1,4,1,1,4,90,1,10,0,0,40,50,1,10,10,10,0,70
3,38,4,54,4,0,4,5,6,8,59,22,4,7,8,14,66,5
NA,0,10,0,30,60,4,0,0,0,50,50,2,0,10,30,60,0
3,0,0,100,0,0,NA,0,0,100,0,0,4,0,0,0,100,0
5,20,0,0,10,70,4,0,10,10,70,10,5,10,30,0,10,50
3,50,25,23,0,2,4,1,6,25,58,10,5,0,5,9,65,21
5,5,10,0,50,35,NA,0,20,30,35,15,1,80,10,5,4,1
3,25,27,20,11,17,4,0,0,0,25,75,2,28,54,7,6,5
2,15,50,10,15,10,4,0,5,5,60,30,4,0,0,15,75,10
5,0,15,20,20,45,5,0,0,0,0,100,2,30,30,40,0,0
2,30,37,21,7,5,4,0,0,0,17,83,5,0,0,23,30,47
NA,0,5,0,19,76,5,0,0,47,0,53,3,20,66,0,0,14
4,2,3,29,57,9,5,0,0,0,100,0,3,0,0,100,0,0
3,10,10,40,30,10,2,100,0,0,0,0,2,100,0,0,0,0
5,0,0,4,6,90,4,0,18,24,58,0,2,0,38,26,14,22
3,30,30,31,9,0,4,9,23,23,23,22,2,0,64,15,21,0
3,20,0,80,0,0,4,0,20,40,0,40,3,0,100,0,0,0
3,80,0,10,10,0,2,0,80,0,20,0,2,30,0,0,70,0
5,5,30,20,28,17,4,0,0,100,0,0,2,0,0,100,0,0
5,0,0,0,0,100,5,0,0,0,0,100,2,0,100,0,0,0
5,0,0,0,20,80,5,0,0,0,100,0,4,0,0,0,100,0
4,31,30,10,29,0,4,0,29,8,63,0,1,100,0,0,0,0
5,41,37,11,9,2,3,18,17,30,21,14,4,22,31,27,18,2
NA,0,0,0,0,100,5,0,0,0,0,100,1,0,100,0,0,0
5,25,33,13,6,23,5,0,0,0,0,100,5,0,8,13,17,62
2,40,30,20,5,5,4,0,10,50,30,10,3,10,40,50,0,0
4,63,15,4,12,6,5,5,37,37,17,4,2,2,69,17,8,4
4,65,34,1,0,0,5,20,25,18,15,22,5,15,4,11,32,38
4,50,25,15,10,0,4,40,20,20,10,10,5,50,10,5,30,5
2,20,30,0,30,20,4,2,17,17,46,18,4,0,23,27,50,0
5,0,0,0,50,50,5,0,0,0,33,67,4,0,0,47,38,15
1,0,3,0,0,97,2,0,0,0,100,0,5,0,0,100,0,0
5,3,8,26,57,6,5,0,0,0,15,85,2,0,38,38,8,16
5,0,0,0,0,100,4,0,0,0,100,0,3,0,0,100,0,0
5,10,5,10,25,50,5,0,0,0,20,80,3,0,50,40,10,0
5,100,0,0,0,0,5,20,10,23,21,26,3,21,34,31,14,0
NA,0,0,0,0,100,NA,0,31,59,10,0,NA,0,0,0,0,100
NA,100,0,0,0,0,4,53,23,9,7,8,NA,0,0,0,100,0
3,50,20,20,5,5,4,5,10,40,30,15,3,20,60,10,10,0
3,15,35,35,10,5,4,0,15,25,50,10,1,30,70,0,0,0
5,30,10,0,0,60,5,0,0,10,0,90,4,10,0,0,70,20
1,5,5,5,30,55,2,0,5,5,40,50,1,0,5,5,40,50
1,98,0,2,0,0,5,0,3,6,9,82,5,10,65,16,4,5
NA,100,0,0,0,0,5,0,17,38,45,0,2,27,30,21,22,0
1,58,22,19,0,1,4,0,0,9,29,62,2,0,81,19,0,0
2,60,20,10,5,5,5,5,10,25,20,40,2,2,30,30,20,18
5,0,10,0,32,58,5,0,0,0,30,70,5,0,0,0,31,69
3,21,12,31,19,17,4,17,29,14,24,16,3,31,21,12,20,16
1,100,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0
3,47,46,7,0,0,NA,23,24,24,27,2,2,100,0,0,0,0
NA,40,20,0,30,10,NA,24,0,76,0,0,NA,0,100,0,0,0
2,24,24,14,22,16,2,15,33,36,11,5,2,0,100,0,0,0
2,29,14,12,35,10,2,15,28,21,36,0,2,9,13,20,33,25
5,0,0,0,20,80,5,0,0,0,0,100,3,0,0,0,0,100
5,0,5,0,45,50,4,0,0,0,100,0,1,0,0,10,0,90
5,0,0,30,60,10,5,0,0,0,10,90,2,5,80,15,0,0
1,80,20,0,0,0,4,0,50,50,0,0,1,80,20,0,0,0
4,10,10,10,50,20,4,10,10,10,70,0,5,10,30,30,20,10
2,69,19,5,3,4,5,6,14,19,42,19,4,8,6,9,61,16
5,25,20,30,14,11,4,10,15,20,30,25,2,50,45,5,0,0
1,65,20,5,5,5,2,10,50,25,10,5,2,20,10,10,20,40
4,0,10,0,90,0,4,0,0,10,90,0,2,0,10,90,0,0
NA,0,49,48,3,0,NA,96,4,0,0,0,NA,99,1,0,0,0
1,73,0,24,3,0,5,0,0,0,0,100,4,100,0,0,0,0
4,5,10,16,59,10,4,0,8,24,68,0,4,1,9,33,57,0
5,20,30,10,30,10,5,2,0,13,15,70,5,25,0,10,50,15
4,25,6,7,30,32,5,5,5,7,10,73,5,0,0,0,0,100
2,51,49,0,0,0,4,0,25,0,75,0,1,32,44,14,10,0
4,10,20,0,40,30,NA,4,32,0,23,41,4,2,47,10,41,0
4,0,0,0,0,100,5,14,15,10,23,38,2,73,27,0,0,0
1,100,0,0,0,0,2,0,100,0,0,0,1,50,0,0,0,50
2,0,0,0,99,1,5,0,0,0,0,100,2,72,28,0,0,0
2,30,27,15,10,18,4,51,33,16,0,0,3,28,33,39,0,0
5,0,0,0,0,100,5,0,0,0,0,100,5,0,100,0,0,0
